Date,Description,Amount,Type
2023-05-22,"Shoprite Lekki",-55418,expense
2023-05-24,"Paystack Transfer: Client Payment",290648,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-23,"Bolt Trip",-1586,expense
2023-05-24,"Paystack Transfer: Client Payment",218453,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-24,"Upwork Inc.",560597,income
2023-05-24,"Spectranet 4G LTE",-23152,expense
2023-05-24,"Spectranet 4G LTE",-34173,expense
2023-05-24,"MainOne Cable",-45000,expense
2023-05-24,"Paystack Transfer: Client Payment",283794,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-25,"Spar Nigeria",-25280,expense
2023-05-24,"Paystack Transfer: Client Payment",204964,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-26,"Netflix Subscription",-4500,expense
2023-05-26,"Uber Ride",-5101,expense
2023-05-26,"Vercel Inc.",-25000,expense
2023-05-24,"Paystack Transfer: Client Payment",207056,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-24,"Paystack Transfer: Client Payment",242878,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-28,"Vercel Inc.",-25000,expense
2023-05-28,"Shoprite Lekki",-51750,expense
2023-05-28,"MainOne Cable",-45000,expense
2023-05-24,"Paystack Transfer: Client Payment",159094,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-29,"Coworking Space Lekki",-60000,expense
2023-05-29,"Bolt Trip",-3310,expense
2023-05-24,"Paystack Transfer: Client Payment",377601,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-30,"Zoom Video Comms",-18000,expense
2023-05-24,"Paystack Transfer: Client Payment",287482,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-31,"Upwork Inc.",433353,income
2023-05-31,"Dominos Pizza",-10667,expense
2023-05-31,"Netflix Subscription",-4500,expense
2023-06-24,"Paystack Transfer: Client Payment",275429,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-01,"Uber Ride",-3473,expense
2023-06-01,"Eko Hotels & Suites",-124755,expense
2023-06-01,"DSTV Premium",-29500,expense
2023-06-24,"Paystack Transfer: Client Payment",380807,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-02,"DSTV Premium",-29500,expense
2023-06-02,"Eko Hotels & Suites",-99818,expense
2023-06-02,"GTBank Trf: Mom",-32096,expense
2023-06-24,"Paystack Transfer: Client Payment",347366,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-24,"Paystack Transfer: Client Payment",258828,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-04,"Spar Nigeria",-45430,expense
2023-06-04,"Eko Hotels & Suites",-117095,expense
2023-06-04,"Netflix Subscription",-4500,expense
2023-06-24,"Paystack Transfer: Client Payment",295968,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-24,"Paystack Transfer: Client Payment",161225,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-06,"Uber Ride",-4812,expense
2023-06-06,"Netflix Subscription",-4500,expense
2023-06-06,"Eko Hotels & Suites",-79656,expense
2023-06-24,"Paystack Transfer: Client Payment",356731,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-07,"Upwork Inc.",357493,income
2023-06-24,"Paystack Transfer: Client Payment",388679,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-24,"Paystack Transfer: Client Payment",308598,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-09,"Uber Ride",-5685,expense
2023-06-09,"Bolt Trip",-2028,expense
2023-06-09,"Uber Ride",-4117,expense
2023-06-24,"Paystack Transfer: Client Payment",201863,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-24,"Paystack Transfer: Client Payment",386554,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-24,"Paystack Transfer: Client Payment",401246,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-12,"Uber Ride",-3091,expense
2023-06-12,"Dominos Pizza",-10756,expense
2023-06-24,"Paystack Transfer: Client Payment",474600,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-13,"Fuel - Total",-11574,expense
2023-06-13,"Bolt Trip",-1916,expense
2023-06-24,"Paystack Transfer: Client Payment",362234,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-14,"Upwork Inc.",478229,income
2023-06-14,"Vercel Inc.",-25000,expense
2023-06-14,"Spectranet 4G LTE",-30654,expense
2023-06-14,"Shoprite Lekki",-71983,expense
2023-06-24,"Paystack Transfer: Client Payment",242501,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-15,"Eko Hotels & Suites",-87788,expense
2023-06-24,"Paystack Transfer: Client Payment",231663,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-16,"Vercel Inc.",-25000,expense
2023-06-24,"Paystack Transfer: Client Payment",323469,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-17,"Zoom Video Comms",-18000,expense
2023-06-17,"DSTV Premium",-29500,expense
2023-06-17,"Netflix Subscription",-4500,expense
2023-06-24,"Paystack Transfer: Client Payment",366053,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-18,"Vercel Inc.",-25000,expense
2023-06-18,"Fuel - Total",-17181,expense
2023-06-18,"Spar Nigeria",-41286,expense
2023-06-24,"Paystack Transfer: Client Payment",166333,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-19,"Netflix Subscription",-4500,expense
2023-06-19,"Uber Ride",-2194,expense
2023-06-24,"Paystack Transfer: Client Payment",338169,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-24,"Paystack Transfer: Client Payment",315838,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-21,"Upwork Inc.",306232,income
2023-06-21,"DSTV Premium",-29500,expense
2023-06-21,"Zoom Video Comms",-18000,expense
2023-06-21,"Uber Ride",-4094,expense
2023-06-24,"Paystack Transfer: Client Payment",212615,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-24,"Paystack Transfer: Client Payment",331962,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-23,"Eko Hotels & Suites",-107823,expense
2023-06-24,"Paystack Transfer: Client Payment",272869,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-24,"DSTV Premium",-29500,expense
2023-06-24,"Paystack Transfer: Client Payment",241838,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-25,"Bolt Trip",-2490,expense
2023-06-25,"Uber Ride",-5134,expense
2023-06-25,"Shoprite Lekki",-41999,expense
2023-06-24,"Paystack Transfer: Client Payment",230787,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-26,"Vercel Inc.",-25000,expense
2023-06-26,"Dominos Pizza",-9102,expense
2023-06-24,"Paystack Transfer: Client Payment",408900,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-27,"Bolt Trip",-4065,expense
2023-06-24,"Paystack Transfer: Client Payment",427078,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-28,"Upwork Inc.",774768,income
2023-06-28,"DSTV Premium",-29500,expense
2023-06-28,"Fuel - Total",-23206,expense
2023-06-24,"Paystack Transfer: Client Payment",405286,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-24,"Paystack Transfer: Client Payment",444906,income
2023-06-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-06-30,"Bolt Trip",-2005,expense
2023-06-30,"Bolt Trip",-4207,expense
2023-07-24,"Paystack Transfer: Client Payment",328880,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-01,"GTBank Trf: Mom",-33802,expense
2023-07-01,"Zoom Video Comms",-18000,expense
2023-07-24,"Paystack Transfer: Client Payment",451972,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-02,"Eko Hotels & Suites",-70794,expense
2023-07-24,"Paystack Transfer: Client Payment",194715,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-03,"Netflix Subscription",-4500,expense
2023-07-03,"Netflix Subscription",-4500,expense
2023-07-03,"Spectranet 4G LTE",-25213,expense
2023-07-24,"Paystack Transfer: Client Payment",168316,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-04,"Uber Ride",-2381,expense
2023-07-24,"Paystack Transfer: Client Payment",396896,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-05,"Upwork Inc.",311851,income
2023-07-05,"Uber Ride",-2268,expense
2023-07-05,"Spar Nigeria",-18086,expense
2023-07-05,"MainOne Cable",-45000,expense
2023-07-24,"Paystack Transfer: Client Payment",434132,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-06,"Vercel Inc.",-25000,expense
2023-07-06,"Netflix Subscription",-4500,expense
2023-07-24,"Paystack Transfer: Client Payment",300275,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-24,"Paystack Transfer: Client Payment",225431,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-08,"Shoprite Lekki",-79262,expense
2023-07-08,"Netflix Subscription",-4500,expense
2023-07-24,"Paystack Transfer: Client Payment",368251,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-09,"Eko Hotels & Suites",-95018,expense
2023-07-09,"Spar Nigeria",-42352,expense
2023-07-24,"Paystack Transfer: Client Payment",451282,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-10,"Shoprite Lekki",-20382,expense
2023-07-10,"Fuel - Total",-18914,expense
2023-07-10,"DSTV Premium",-29500,expense
2023-07-24,"Paystack Transfer: Client Payment",165575,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-11,"Uber Ride",-2795,expense
2023-07-11,"Spectranet 4G LTE",-24037,expense
2023-07-24,"Paystack Transfer: Client Payment",330671,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-12,"Upwork Inc.",541051,income
2023-07-12,"Bolt Trip",-3248,expense
2023-07-24,"Paystack Transfer: Client Payment",321106,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-13,"Bolt Trip",-2939,expense
2023-07-13,"Zoom Video Comms",-18000,expense
2023-07-24,"Paystack Transfer: Client Payment",173101,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-14,"Uber Ride",-3212,expense
2023-07-24,"Paystack Transfer: Client Payment",220716,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-15,"Spar Nigeria",-14363,expense
2023-07-15,"Fuel - Total",-17116,expense
2023-07-24,"Paystack Transfer: Client Payment",338106,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-24,"Paystack Transfer: Client Payment",218016,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-17,"Bolt Trip",-1227,expense
2023-07-17,"Spectranet 4G LTE",-23683,expense
2023-07-17,"Fuel - Total",-14816,expense
2023-07-24,"Paystack Transfer: Client Payment",194441,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-18,"Shoprite Lekki",-18428,expense
2023-07-18,"Uber Ride",-5051,expense
2023-07-24,"Paystack Transfer: Client Payment",180505,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-19,"Upwork Inc.",716558,income
2023-07-24,"Paystack Transfer: Client Payment",340616,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-20,"Spar Nigeria",-26862,expense
2023-07-20,"Eko Hotels & Suites",-105321,expense
2023-07-24,"Paystack Transfer: Client Payment",174608,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-21,"Eko Hotels & Suites",-126847,expense
2023-07-21,"Eko Hotels & Suites",-131052,expense
2023-07-21,"Vercel Inc.",-25000,expense
2023-07-24,"Paystack Transfer: Client Payment",195436,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-22,"Netflix Subscription",-4500,expense
2023-07-22,"Bolt Trip",-3751,expense
2023-07-22,"Vercel Inc.",-25000,expense
2023-07-24,"Paystack Transfer: Client Payment",186408,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-24,"Paystack Transfer: Client Payment",274840,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-24,"Coworking Space Lekki",-60000,expense
2023-07-24,"Paystack Transfer: Client Payment",295213,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-25,"Fuel - Total",-23474,expense
2023-07-25,"Fuel - Total",-18381,expense
2023-07-24,"Paystack Transfer: Client Payment",492911,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-26,"Upwork Inc.",792095,income
2023-07-26,"MainOne Cable",-45000,expense
2023-07-26,"Fuel - Total",-10230,expense
2023-07-24,"Paystack Transfer: Client Payment",259063,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-27,"MainOne Cable",-45000,expense
2023-07-27,"MainOne Cable",-45000,expense
2023-07-24,"Paystack Transfer: Client Payment",250391,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-28,"Coworking Space Lekki",-60000,expense
2023-07-24,"Paystack Transfer: Client Payment",226526,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-29,"DSTV Premium",-29500,expense
2023-07-29,"Bolt Trip",-3027,expense
2023-07-29,"Netflix Subscription",-4500,expense
2023-07-24,"Paystack Transfer: Client Payment",168855,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-30,"Netflix Subscription",-4500,expense
2023-07-30,"MainOne Cable",-45000,expense
2023-07-30,"Fuel - Total",-15842,expense
2023-07-24,"Paystack Transfer: Client Payment",479289,income
2023-07-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-07-31,"Spectranet 4G LTE",-24548,expense
2023-07-31,"Coworking Space Lekki",-60000,expense
2023-08-24,"Paystack Transfer: Client Payment",377791,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-01,"Zoom Video Comms",-18000,expense
2023-08-01,"Spectranet 4G LTE",-31023,expense
2023-08-24,"Paystack Transfer: Client Payment",404410,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-02,"Upwork Inc.",411598,income
2023-08-02,"Netflix Subscription",-4500,expense
2023-08-02,"Coworking Space Lekki",-60000,expense
2023-08-02,"Fuel - Total",-18889,expense
2023-08-24,"Paystack Transfer: Client Payment",201098,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-03,"Eko Hotels & Suites",-83877,expense
2023-08-03,"Zoom Video Comms",-18000,expense
2023-08-03,"Coworking Space Lekki",-60000,expense
2023-08-24,"Paystack Transfer: Client Payment",163871,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-04,"Spectranet 4G LTE",-29762,expense
2023-08-24,"Paystack Transfer: Client Payment",156298,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-05,"Coworking Space Lekki",-60000,expense
2023-08-05,"Bolt Trip",-2898,expense
2023-08-05,"Vercel Inc.",-25000,expense
2023-08-24,"Paystack Transfer: Client Payment",428624,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-06,"Coworking Space Lekki",-60000,expense
2023-08-06,"Coworking Space Lekki",-60000,expense
2023-08-06,"Vercel Inc.",-25000,expense
2023-08-24,"Paystack Transfer: Client Payment",316330,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-07,"Spectranet 4G LTE",-29215,expense
2023-08-07,"Eko Hotels & Suites",-94073,expense
2023-08-07,"Spectranet 4G LTE",-27489,expense
2023-08-24,"Paystack Transfer: Client Payment",229395,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-08,"Dominos Pizza",-10764,expense
2023-08-08,"GTBank Trf: Mom",-21091,expense
2023-08-24,"Paystack Transfer: Client Payment",460599,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-09,"Upwork Inc.",511417,income
2023-08-24,"Paystack Transfer: Client Payment",380923,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-24,"Paystack Transfer: Client Payment",361264,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-11,"Bolt Trip",-1883,expense
2023-08-11,"MainOne Cable",-45000,expense
2023-08-11,"GTBank Trf: Mom",-28973,expense
2023-08-24,"Paystack Transfer: Client Payment",445797,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-12,"Vercel Inc.",-25000,expense
2023-08-12,"Bolt Trip",-2616,expense
2023-08-24,"Paystack Transfer: Client Payment",203844,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-13,"Uber Ride",-3018,expense
2023-08-13,"Bolt Trip",-3661,expense
2023-08-13,"Netflix Subscription",-4500,expense
2023-08-24,"Paystack Transfer: Client Payment",459117,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-14,"Zoom Video Comms",-18000,expense
2023-08-14,"Uber Ride",-2359,expense
2023-08-14,"Coworking Space Lekki",-60000,expense
2023-08-24,"Paystack Transfer: Client Payment",415762,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-15,"Coworking Space Lekki",-60000,expense
2023-08-15,"Spar Nigeria",-16383,expense
2023-08-15,"Vercel Inc.",-25000,expense
2023-08-24,"Paystack Transfer: Client Payment",240420,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-16,"Upwork Inc.",748460,income
2023-08-16,"Bolt Trip",-1369,expense
2023-08-16,"DSTV Premium",-29500,expense
2023-08-24,"Paystack Transfer: Client Payment",157298,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-17,"Eko Hotels & Suites",-60178,expense
2023-08-17,"Shoprite Lekki",-37141,expense
2023-08-17,"MainOne Cable",-45000,expense
2023-08-24,"Paystack Transfer: Client Payment",431692,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-18,"Uber Ride",-3664,expense
2023-08-24,"Paystack Transfer: Client Payment",439432,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-19,"Zoom Video Comms",-18000,expense
2023-08-19,"Coworking Space Lekki",-60000,expense
2023-08-19,"Zoom Video Comms",-18000,expense
2023-08-24,"Paystack Transfer: Client Payment",253728,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-20,"Zoom Video Comms",-18000,expense
2023-08-24,"Paystack Transfer: Client Payment",240259,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-21,"GTBank Trf: Mom",-45785,expense
2023-08-24,"Paystack Transfer: Client Payment",216924,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-22,"Spectranet 4G LTE",-23450,expense
2023-08-24,"Paystack Transfer: Client Payment",328257,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-23,"Upwork Inc.",308007,income
2023-08-24,"Paystack Transfer: Client Payment",478128,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-24,"Spectranet 4G LTE",-25963,expense
2023-08-24,"Shoprite Lekki",-26152,expense
2023-08-24,"Fuel - Total",-11328,expense
2023-08-24,"Paystack Transfer: Client Payment",446822,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-25,"DSTV Premium",-29500,expense
2023-08-25,"Spectranet 4G LTE",-30565,expense
2023-08-24,"Paystack Transfer: Client Payment",308699,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-26,"Netflix Subscription",-4500,expense
2023-08-26,"Fuel - Total",-23354,expense
2023-08-26,"Spar Nigeria",-42179,expense
2023-08-24,"Paystack Transfer: Client Payment",219350,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-24,"Paystack Transfer: Client Payment",433476,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-28,"Zoom Video Comms",-18000,expense
2023-08-28,"Eko Hotels & Suites",-141500,expense
2023-08-28,"Zoom Video Comms",-18000,expense
2023-08-24,"Paystack Transfer: Client Payment",168245,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-24,"Paystack Transfer: Client Payment",318742,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-08-30,"Upwork Inc.",307256,income
2023-08-30,"Fuel - Total",-18661,expense
2023-08-30,"Eko Hotels & Suites",-86791,expense
2023-08-24,"Paystack Transfer: Client Payment",434026,income
2023-08-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-24,"Paystack Transfer: Client Payment",219732,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-01,"MainOne Cable",-45000,expense
2023-09-01,"Spar Nigeria",-20523,expense
2023-09-24,"Paystack Transfer: Client Payment",199252,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-24,"Paystack Transfer: Client Payment",205365,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-03,"Netflix Subscription",-4500,expense
2023-09-03,"Eko Hotels & Suites",-133272,expense
2023-09-03,"Spar Nigeria",-34508,expense
2023-09-24,"Paystack Transfer: Client Payment",162949,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-04,"Uber Ride",-3803,expense
2023-09-24,"Paystack Transfer: Client Payment",443749,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-24,"Paystack Transfer: Client Payment",418908,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-06,"Upwork Inc.",754314,income
2023-09-06,"GTBank Trf: Mom",-47287,expense
2023-09-06,"Fuel - Total",-19278,expense
2023-09-24,"Paystack Transfer: Client Payment",410452,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-07,"Zoom Video Comms",-18000,expense
2023-09-07,"Eko Hotels & Suites",-108414,expense
2023-09-24,"Paystack Transfer: Client Payment",329957,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-08,"Bolt Trip",-1580,expense
2023-09-08,"Dominos Pizza",-8734,expense
2023-09-24,"Paystack Transfer: Client Payment",285811,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-09,"GTBank Trf: Mom",-28800,expense
2023-09-09,"GTBank Trf: Mom",-29349,expense
2023-09-09,"Eko Hotels & Suites",-63880,expense
2023-09-24,"Paystack Transfer: Client Payment",376523,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-10,"Netflix Subscription",-4500,expense
2023-09-10,"Zoom Video Comms",-18000,expense
2023-09-10,"Zoom Video Comms",-18000,expense
2023-09-24,"Paystack Transfer: Client Payment",291060,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-24,"Paystack Transfer: Client Payment",341564,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-12,"Spar Nigeria",-36889,expense
2023-09-24,"Paystack Transfer: Client Payment",333406,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-13,"Upwork Inc.",467529,income
2023-09-13,"Eko Hotels & Suites",-122182,expense
2023-09-13,"Netflix Subscription",-4500,expense
2023-09-24,"Paystack Transfer: Client Payment",305235,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-14,"Shoprite Lekki",-25593,expense
2023-09-14,"Eko Hotels & Suites",-46570,expense
2023-09-14,"MainOne Cable",-45000,expense
2023-09-24,"Paystack Transfer: Client Payment",379294,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-15,"Fuel - Total",-12747,expense
2023-09-15,"Dominos Pizza",-23474,expense
2023-09-15,"Dominos Pizza",-22032,expense
2023-09-24,"Paystack Transfer: Client Payment",382605,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-16,"Eko Hotels & Suites",-50962,expense
2023-09-24,"Paystack Transfer: Client Payment",387876,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-17,"Eko Hotels & Suites",-89978,expense
2023-09-17,"Shoprite Lekki",-77869,expense
2023-09-24,"Paystack Transfer: Client Payment",377883,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-18,"Fuel - Total",-10696,expense
2023-09-18,"Netflix Subscription",-4500,expense
2023-09-18,"MainOne Cable",-45000,expense
2023-09-24,"Paystack Transfer: Client Payment",159415,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-19,"MainOne Cable",-45000,expense
2023-09-19,"Bolt Trip",-4159,expense
2023-09-24,"Paystack Transfer: Client Payment",491310,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-20,"Upwork Inc.",575693,income
2023-09-20,"DSTV Premium",-29500,expense
2023-09-20,"GTBank Trf: Mom",-28612,expense
2023-09-24,"Paystack Transfer: Client Payment",306130,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-24,"Paystack Transfer: Client Payment",231162,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-22,"Uber Ride",-1947,expense
2023-09-22,"Vercel Inc.",-25000,expense
2023-09-22,"Zoom Video Comms",-18000,expense
2023-09-24,"Paystack Transfer: Client Payment",347310,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-23,"Zoom Video Comms",-18000,expense
2023-09-23,"Zoom Video Comms",-18000,expense
2023-09-23,"Spar Nigeria",-47934,expense
2023-09-24,"Paystack Transfer: Client Payment",397788,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-24,"Paystack Transfer: Client Payment",408616,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-24,"Paystack Transfer: Client Payment",280261,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-26,"Netflix Subscription",-4500,expense
2023-09-26,"Spectranet 4G LTE",-30829,expense
2023-09-24,"Paystack Transfer: Client Payment",348111,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-27,"Upwork Inc.",417719,income
2023-09-27,"Uber Ride",-4745,expense
2023-09-27,"Vercel Inc.",-25000,expense
2023-09-27,"Fuel - Total",-19595,expense
2023-09-24,"Paystack Transfer: Client Payment",387941,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-24,"Paystack Transfer: Client Payment",425964,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-29,"Vercel Inc.",-25000,expense
2023-09-29,"Coworking Space Lekki",-60000,expense
2023-09-29,"MainOne Cable",-45000,expense
2023-09-24,"Paystack Transfer: Client Payment",400533,income
2023-09-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-09-30,"Vercel Inc.",-25000,expense
2023-09-30,"MainOne Cable",-45000,expense
2023-09-30,"Uber Ride",-2707,expense
2023-10-24,"Paystack Transfer: Client Payment",212807,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-01,"Uber Ride",-4741,expense
2023-10-24,"Paystack Transfer: Client Payment",457907,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
